Easting,Northing,Moisture,Yield
592256.750,4267865.500,10.8,7234
592257.375,4267865.500,10.8,6308
592258.063,4267865.500,10.6,7652
592258.750,4267865.500,10.5,7286
592259.375,4267865.500,10.8,7585
592259.375,4267865.500,10.8,7969
592260.063,4267865.500,10.8,6208
592260.750,4267865.500,10.4,7410
592261.375,4267865.500,10.6,7842
592262.063,4267865.500,10.8,7848
592262.750,4267865.500,10.8,7104
592262.750,4267865.500,10.8,6617
592263.375,4267865.500,10.3,6002
592264.063,4267865.500,10.8,6680
592264.688,4267865.500,10.8,6210
592265.375,4267865.500,10.8,7134
592266.063,4267865.500,10.7,6711
592266.688,4267865.500,10.5,6830
592266.688,4267865.500,10.7,8315
592267.375,4267865.500,10.8,6481
592268.063,4267865.500,10.7,5998
592268.688,4267865.500,10.6,7788
592269.375,4267865.500,10.5,6946
592270.063,4267865.500,10.7,7504
592270.688,4267865.500,10.8,7118
592270.688,4267865.500,10.8,6721
592271.375,4267865.500,10.6,9004
592272.000,4267865.500,10.7,7345
592272.688,4267865.500,10.8,6592
592273.375,4267865.500,10.7,8114
592274.000,4267865.500,10.6,6667
592274.000,4267865.500,10.5,7323
592274.688,4267865.500,10.6,7556
592275.375,4267865.500,10.8,5900
592276.000,4267865.500,10.8,7324
592276.688,4267865.500,10.6,7058
592277.375,4267865.500,10.5,6760
592277.375,4267865.500,10.8,8149
592278.000,4267865.500,10.8,6500
592278.688,4267865.500,10.8,6156
592279.313,4267865.500,10.7,7185
592280.000,4267865.500,10.6,6597
592280.688,4267865.500,10.9,6499
592281.313,4267866.000,10.8,8145
592281.313,4267866.000,10.8,6959
592282.000,4267866.000,10.6,5769
592282.688,4267866.000,10.6,6630
592283.313,4267866.000,10.7,8109
592284.000,4267866.000,10.9,7851
592284.688,4267866.000,10.7,6828
592284.688,4267866.000,10.6,6807
592285.313,4267866.000,10.6,8861
592286.000,4267866.000,10.8,6761
592286.625,4267866.000,10.8,8324
592287.313,4267866.000,10.6,6397
592288.000,4267866.000,10.6,6972
592288.000,4267866.000,10.7,7911
592288.625,4267866.000,10.8,8256
592289.313,4267866.000,10.9,6431
592290.000,4267866.000,10.8,8510
592290.625,4267866.000,10.6,6076
592291.313,4267866.000,10.7,7299
592291.313,4267866.000,10.8,7855
592292.000,4267866.000,10.8,6539
592292.625,4267866.000,10.8,8282
592293.313,4267866.000,10.6,6929
592293.938,4267866.000,10.6,6647
592294.625,4267866.000,10.8,9508
592295.313,4267866.000,10.8,6223
592295.313,4267866.000,10.8,7327
592295.938,4267866.000,10.6,7225
592296.625,4267866.000,10.5,6539
592297.313,4267866.000,10.7,8391
592297.938,4267866.000,10.6,8392
592298.625,4267866.000,10.7,7792
592298.625,4267866.000,10.5,8211
592299.313,4267866.000,10.4,6381
592299.938,4267866.000,10.9,6707
