Easting,Northing,Yield,Moisture,Time
592598.625,4267738.5,13273,16.6,936478223
592598.5625,4267741,14156,16.2,936478225
592598.5625,4267743.5,14226,16.2,936478227
592598.5625,4267746,15279,16.1,936478229
592598.5,4267749,15104,16,936478231
592598.5,4267751.5,15320,16.2,936478233
592598.4375,4267754,16041,16,936478235
592598.4375,4267757,15830,14.9,936478237
592599.0625,4267759,15081,15.7,936478239
592599,4267761.5,15607,16.2,936478241
592599,4267764,15883,15.7,936478243
592598.9375,4267766.5,14314,16.2,936478245
592598.9375,4267769,15157,16.1,936478247
592598.875,4267771.5,16059,16.7,936478249
592598.875,4267774,15086,16.9,936478251
592598.8125,4267777,15502,16.3,936478253
592598.8125,4267779,14074,16.7,936478255
592598.8125,4267782,15373,16.6,936478257
592598.75,4267784.5,15104,16,936478259
592598.75,4267787.5,16211,16.9,936478261
592598.6875,4267790,14050,16.5,936478263
592598.6875,4267792.5,14366,16.5,936478265
592598.625,4267795,14682,16.3,936478267
592598.625,4267797.5,12909,16.3,936478269
592598.5625,4267800,6798,15.7,936478271
592598.5625,4267801,9935,16.5,936478273
592598.5625,4267799.5,1695,16,936478275
592598.625,4267798.5,357,16,936478277
592600.625,4267793.5,0,14.9,936478345
592600.625,4267793.5,0,14.9,936478347
592601.3125,4267793.5,0,14.9,936478349
592602,4267793.5,0,14.9,936478351
592602,4267793.5,0,14.9,936478353
592602,4267793.5,0,14.9,936478355
592602,4267793.5,273,14.9,936478357
592603.3125,4267793.5,1224,14.9,936478359
592602.625,4267793.5,195,14.9,936478361
592600.625,4267793.5,0,14.9,936478363
592600,4267793.5,0,14.9,936478365
592600,4267793.5,0,14.9,936478367
592600.625,4267793.5,0,14.9,936478369
592599.3125,4267793.5,0,14.9,936478371
592599.3125,4267793.5,0,14.9,936478373
592600,4267793.5,1478,0,936478375
592600.625,4267793.5,800,0,936478377
592600.625,4267793,53,0,936478379
592600.625,4267793,2634,0,936478381
592600,4267793.5,100,0,936478383
592598.625,4267794.5,462,0,936478385
592598.625,4267794.5,2927,0,936478387
592224.125,4267870,21799,14.6,936628025
