Easting,Northing,Yield,Moisture,Time
592330.0156,4270384.432,4504.362614,11.1,838234235
592330.9738,4270384.443,4822.097736,11.1,838234236
592331.932,4270384.454,5526.099085,11.1,838234237
592332.8902,4270384.465,4971.620146,11.1,838234238
592333.8484,4270384.476,4878.547071,11.5,838234239
592334.8937,4270384.488,6450.296991,11.6,838234240
592335.8519,4270384.499,7152.959958,11.3,838234241
592336.81,4270384.51,7151.294367,11.3,838234242
592337.8553,4270384.522,6483.9977,11.3,838234243
592338.8135,4270384.533,6637.807947,10.9,838234244
592339.8588,4270384.546,6157.32319,10.9,838234245
592340.817,4270384.557,6455.223606,10.8,838234246
592341.8623,4270384.569,6135.472987,10.7,838234247
592342.8205,4270384.58,6483.578272,10.9,838234248
592343.8658,4270384.592,6649.389296,10.9,838234249
592344.9111,4270384.604,5810.590319,11.2,838234250
592345.9564,4270384.616,5826.543167,11.3,838234251
592347.0017,4270384.628,5664.941323,11.1,838234252
592348.047,4270384.64,5927.776542,11.3,838234253
592349.1794,4270384.653,5208.782439,10.9,838234254
592350.2247,4270384.665,4920.661068,10.9,838234255
592351.27,4270384.677,5547.748759,10.9,838234256
592352.3153,4270384.689,5871.618205,10.7,838234257
592353.3606,4270384.701,5209.150192,10.7,838234258
592354.4059,4270384.713,4880.937462,10.8,838234259
592355.4512,4270384.725,5457.35774,10.9,838234260
592356.4965,4270384.738,5146.638614,10.9,838234261
592357.5418,4270384.75,5016.701525,10.9,838234262
592358.5871,4270384.762,5022.350964,10.9,838234263
592359.6324,4270384.774,5705.172174,11,838234264
592360.6777,4270384.786,4728.916203,11,838234265
592361.723,4270384.798,4413.58115,11.1,838234266
592362.7683,4270384.81,4153.320198,11,838234267
592363.8136,4270384.822,4135.389095,10.9,838234268
592364.946,4270384.835,4417.861028,10.9,838234269
592365.9913,4270384.847,4078.894709,10.9,838234270
592367.0366,4270384.859,3287.973297,10.9,838234271
592368.0819,4270384.871,3852.917162,10.9,838234272
592369.1272,4270384.883,3451.807018,10.9,838234273
592370.1725,4270384.895,3203.231717,10.9,838234274
