Longitude,Latitude,ECto30,ECto100,Easting,Northing
-121.939497,38.554459,38.2,54.9,592404.938,4267869.5
-121.939481,38.554458,35.3,56.1,592406.313,4267869.5
-121.939469,38.554458,34.3,56.8,592407.625,4267869.5
-121.939453,38.554458,34.5,55.8,592408.938,4267869.5
-121.939369,38.55446,28.6,51.5,592416.25,4267869.5
-121.93935,38.55446,31,51.5,592418.25,4267869.5
-121.939332,38.554461,32.3,52.5,592419.563,4267870
-121.939317,38.554462,31.1,49.2,592420.938,4267870
-121.939306,38.554462,30.6,48.2,592421.563,4267870
-121.939231,38.554464,34.5,54.5,592428.25,4267870
-121.939195,38.554464,35.7,53,592431.563,4267870
-121.939113,38.554461,37.9,53.9,592438.875,4267870
-121.939039,38.554464,32.7,47.7,592444.875,4267870
-121.939029,38.554465,34.2,47.8,592446.188,4267870.5
-121.939019,38.554465,32.7,47.2,592446.813,4267870.5
-121.939005,38.554466,33.1,48.3,592448.188,4267870.5
-121.938983,38.554467,33.6,48.8,592450.188,4267870.5
-121.938863,38.554467,30.7,42.9,592460.125,4267871
-121.938851,38.554467,30.3,42,592461.438,4267871
-121.938827,38.554467,30.1,42.9,592463.438,4267871
-121.938791,38.554467,31.4,47.4,592466.75,4267871
-121.93876,38.554467,31.4,47.8,592469.438,4267871
-121.938744,38.554467,33.5,48.3,592470.75,4267871
-121.938732,38.554467,30.5,42.5,592472.125,4267871
-121.938616,38.554467,32.2,45.7,592482.063,4267871
-121.938536,38.554468,29.2,46.8,592488.688,4267871
-121.938519,38.554468,30.6,44.9,592490.063,4267871
-121.938501,38.554468,33,46.1,592492.063,4267871
-121.938483,38.554467,33.3,48.6,592493.375,4267871
-121.938457,38.554467,33.7,49,592496,4267871
-121.938432,38.554468,30.1,44.9,592498,4267871
-121.93842,38.554468,30.9,43.9,592498.688,4267871
-121.938341,38.554469,30,50.1,592506,4267871.5
-121.938327,38.554469,32.4,51,592507.313,4267871.5
-121.938133,38.554467,34.1,54.3,592523.938,4267871.5
-121.938125,38.554467,35.1,54.1,592524.625,4267871.5
-121.938118,38.554468,35.2,54.1,592525.25,4267871.5
-121.938111,38.554468,35.2,54.1,592525.938,4267871.5
-121.938105,38.554469,35.4,54.1,592526.625,4267872
-121.938105,38.554469,35.4,54.1,592526.625,4267872
-121.938105,38.554469,35.5,54.2,592526.625,4267872
-121.938105,38.554469,35.5,54.1,592526.625,4267872
-121.938049,38.55447,29,-29,592531.25,4267872
-121.938042,38.55447,27.8,-25,592531.938,4267872
-121.938033,38.554471,28.4,-29,592532.563,4267872
-121.93802,38.55447,29.1,-29,592533.938,4267872
-121.938007,38.55447,30.2,-25,592535.25,4267872
-121.937933,38.554472,28.1,-25,592541.25,4267872.5
-121.937915,38.554471,29.6,-29,592543.25,4267872
-121.937905,38.554471,30.3,-29,592543.875,4267872
-121.937894,38.554471,29.6,-25,592544.563,4267872
-121.937884,38.554471,29.6,-25,592545.875,4267872
-121.937863,38.554471,27,-25,592547.188,4267872
-121.937842,38.554472,29.4,-25,592549.188,4267872.5
-121.937832,38.554472,29.4,-29,592549.875,4267872.5
-121.937724,38.554471,29.9,53.8,592559.813,4267872.5
-121.937708,38.55447,29.1,53.8,592561.188,4267872.5
-121.937698,38.55447,26.4,53.1,592561.813,4267872.5
-121.937692,38.554471,28.2,60.6,592562.5,4267872.5
-121.937685,38.55447,28.8,53.9,592563.188,4267872.5
-121.937679,38.55447,28.6,59.6,592563.813,4267872.5
-121.937671,38.554471,29.4,61.7,592564.5,4267872.5
-121.937664,38.554471,29.6,59.3,592565.188,4267872.5
-121.937658,38.554472,27.6,59.6,592565.188,4267873
-121.937652,38.554472,26.6,59.2,592565.813,4267873
-121.937643,38.554472,26.5,56,592566.5,4267873
-121.93763,38.554472,25.4,50,592567.813,4267873
-121.93762,38.554472,31.8,-25,592568.5,4267873
-121.937616,38.554472,27.8,-25,592569.125,4267873
-121.937606,38.554472,26.3,51.3,592569.813,4267873
-121.937595,38.554473,26.7,50.3,592571.125,4267873
-121.937584,38.554473,25.4,44.7,592571.813,4267873
-121.937557,38.554475,26.4,45.6,592574.438,4267873
-121.937518,38.554476,26.4,-29,592577.813,4267873.5
-121.937497,38.554476,24.1,-29,592579.125,4267873.5
-121.93748,38.554476,23.8,-29,592581.125,4267873.5
-121.937467,38.554476,23.5,-25,592581.75,4267873.5
-121.937409,38.554475,29.5,-25,592587.125,4267873
-121.937395,38.554475,29.4,-25,592588.438,4267873
-121.937377,38.554475,28.7,-25,592589.75,4267873
-121.937364,38.554475,31.1,-25,592591.063,4267873
-121.937342,38.554475,34.3,-25,592593.063,4267873
-121.937333,38.554475,28,-25,592593.75,4267873
-121.937322,38.554476,27.5,-29,592594.375,4267873.5
-121.937304,38.554477,26.9,-29,592596.375,4267873.5
-121.937286,38.554478,26.8,-29,592597.75,4267873.5
-121.937273,38.554478,31.6,44,592599.063,4267873.5
-121.937259,38.554479,33.6,44.9,592600.375,4267873.5
-121.937238,38.554479,36.4,42.9,592601.688,4267873.5
-121.937216,38.554479,35.8,45.5,592603.688,4267873.5
-121.937201,38.554479,33.9,45.5,592605.063,4267873.5
-121.93719,38.554479,33.1,44.8,592606.375,4267873.5
-121.937175,38.554479,29.8,43.1,592607.688,4267874
-121.937164,38.554479,29,42.7,592608.375,4267874
-121.93715,38.554478,27.5,24.7,592609.688,4267874
-121.937129,38.554477,35.8,46.8,592611.688,4267874
-121.937115,38.554477,35.2,45.7,592612.375,4267874
-121.937105,38.554476,33.9,45.7,592613.688,4267874
-121.937094,38.554476,34.5,49.8,592614.375,4267874
-121.937076,38.554476,32,48.6,592616.313,4267874
-121.937057,38.554476,31.3,45.9,592617.688,4267874
-121.936978,38.55448,30.8,41.9,592624.313,4267874.5
-121.936948,38.55448,32.6,47.2,592627,4267874.5
