Easting,Northing,Yield
592288.3125,4271125.5,1295
592289.625,4271125.5,1098
592290.9375,4271125.5,878
592292.3125,4271125.5,755
592293.625,4271125,1447
592294.9375,4271125,1808
592296.25,4271125,1611
592297.625,4271125,1357
592298.9375,4271125,1014
592299.625,4271125,676
592300.25,4271125,619
592301.5625,4271125,603
592302.9375,4271125,687
592304.25,4271125,625
592304.9375,4271125,670
592306.25,4271125,1211
592307.5625,4271125,1932
592308.875,4271125,1042
592309.5625,4271125,541
592310.875,4271125,524
592311.5625,4271125,546
592312.875,4271125,811
592314.1875,4271125.5,1092
592314.875,4271125.5,1870
592316.1875,4271125,1841
592317.5625,4271125.5,1627
592318.1875,4271125.5,1487
592319.5,4271125.5,1498
592320.875,4271125.5,1397
592322.1875,4271125.5,1504
592322.875,4271125.5,1278
592324.1875,4271125.5,1239
592325.5,4271125.5,1701
592326.8125,4271125.5,1684
592328.1875,4271126,1115
592329.5,4271126,1205
592330.8125,4271125.5,1515
592331.5,4271125.5,1453
592332.8125,4271125.5,1380
592334.125,4271125.5,1188
592336.125,4271125.5,1397
592337.5,4271125.5,1261
592128.8125,4271124.5,1114
592130.125,4271124.5,1389
592132.125,4271125,1344
592133.4375,4271125,1226
592134.75,4271125,951
592136.125,4271125,1502
592137.4375,4271125.5,1327
592152.0625,4271124.5,1192
592153.375,4271125,990
592154.6875,4271125,1406
592156.0625,4271125,1395
592157.375,4271125,922
592158.6875,4271125,1080
592160.0625,4271124.5,1496
592161.375,4271124.5,1153
592162.6875,4271124.5,1249
592164,4271124.5,1457
592165.375,4271124.5,1035
592166.6875,4271124.5,906
592169.3125,4271124.5,1682
592172.6875,4271124.5,1277
592175.3125,4271124.5,1519
592176.625,4271124.5,1170
592178,4271125,883
592180,4271124.5,1192
592180.625,4271124.5,1581
592181.9375,4271125,1395
592183.3125,4271124.5,1108
592183.9375,4271124.5,1237
592185.9375,4271124.5,810
592187.25,4271125,855
592188.625,4271125,934
592189.9375,4271124.5,1052
592191.25,4271124.5,1198
592191.9375,4271124.5,1507
592193.25,4271125,1226
592194.5625,4271125.5,1755
592195.25,4271125.5,1536
592196.5625,4271125.5,1491
592197.875,4271125.5,1479
592199.25,4271125.5,1243
592200.5625,4271125.5,1131
592202.5625,4271125.5,1221
592203.875,4271125.5,1446
592205.1875,4271125.5,889
592205.875,4271125,658
592207.1875,4271125,894
592208.5625,4271125,1271
592209.875,4271125,1254
592211.1875,4271125.5,1221
592212.5,4271125.5,1102
592213.875,4271125.5,934
592215.1875,4271125.5,1192
592216.5,4271125.5,1507
592033.9375,4271107.5,974
592436,4270881.5,2648
592436.6875,4270881.5,1460
592438,4270881.5,727
592439.3125,4270881.5,538
592440.625,4270881.5,377
592093.0625,4270822,1332
592328.625,4270798.5,1443
592421,4270799,1282
592069.3125,4270748,2159
592058,4270748,1216
592048.0625,4270748,1904
592045.375,4270748,1393
592044.0625,4270748,1166
592042.0625,4270748,1205
592040.75,4270748,1088
592039.4375,4270748,760
592037.4375,4270747.5,427
592036.125,4270747.5,294
592034.125,4270747.5,189
592033.5625,4270736,516
592033.5625,4270736,860
592034.25,4270735.5,622
592035.5625,4270735,1038
592036.25,4270735,982
592036.9375,4270735,816
592039.5625,4270735,1160
592048.1875,4270735,1343
592053.5,4270735,1155
592061.5,4270735.5,1510
592084.0625,4270736,1349
592085.4375,4270736,1177
592088.75,4270736,1327
592095.375,4270736,1454
592096.6875,4270736,1388
592102.6875,4270736,1332
592104.6875,4270736,1171
592115.3125,4270736,1332
592120,4270736,1699
592125.9375,4270736,1715
592127.9375,4270736,1293
592133.25,4270736,1504
592139.25,4270736,1238
592147.25,4270735.5,1476
592152.5625,4270735.5,1304
592155.1875,4270735.5,1388
592156.5625,4270735.5,1171
592159.1875,4270736,1232
592188.4375,4270736,1193
592189.75,4270736,1271
592191.75,4270736,1349
592194.4375,4270736,971
592197.0625,4270736,2020
592197.75,4270736,2975
592199.75,4270736,1449
592210.375,4270736.5,1321
592212.375,4270736.5,1227
592218.3125,4270736.5,1238
592226.3125,4270736.5,1349
592227.625,4270736.5,1243
592231,4270736.5,1382
592236.3125,4270736.5,1143
592237.625,4270736.5,944
592247.5625,4270736.5,1349
592251.5625,4270736.5,1316
592252.875,4270736.5,1316
592254.25,4270736.5,766
592255.5625,4270736.5,516
592256.875,4270736.5,1160
592259.5625,4270736.5,1582
592260.1875,4270736.5,1454
592260.875,4270736,1282
592272.8125,4270736.5,1937
592276.8125,4270736,1227
592281.5,4270736,1443
592282.8125,4270736,1876
592291.4375,4270736.5,1127
592292.8125,4270736.5,844
592296.75,4270736.5,1221
592298.125,4270736.5,966
592304.0625,4270736.5,1771
592305.4375,4270736.5,1982
592310.0625,4270736.5,1454
592311.375,4270736.5,1349
592313.375,4270736.5,1760
592315.375,4270736.5,1715
592318.6875,4270736.5,1737
592324.6875,4270736.5,1371
592326.6875,4270736.5,1499
592330,4270736.5,1815
592336.625,4270737,1887
592347.25,4270736.5,1704
592352.625,4270736.5,1488
592354.5625,4270736.5,1743
592357.9375,4270736.5,1504
592363.875,4270736.5,1637
592375.875,4270736.5,1371
592379.8125,4270737,1410
592384.5,4270737,1832
592385.8125,4270737,1365
592388.5,4270737,1732
592389.8125,4270737,2065
592395.125,4270736.5,1626
592397.125,4270736.5,1338
592398.4375,4270736.5,1032
592405.75,4270736.5,1793
592406.4375,4270736.5,1976
592406.4375,4270736.5,1976
592408.4375,4270737,1271
592412.4375,4270737,1871
592415.0625,4270737,2481
592416.375,4270737,2376
592418.375,4270737,2370
592419.75,4270737,1499
592421.0625,4270737,777
592423.0625,4270736.5,461
592425.0625,4270736.5,272
592430.4375,4270729.5,1471
592429.75,4270729.5,505
592428.4375,4270729,616
592427.8125,4270729,777
592426.4375,4270729,583
592425.125,4270728.5,366
592424.5,4270728.5,2026
592423.8125,4270728.5,1132
592422.5,4270728.5,788
592421.125,4270728.5,960
592419.8125,4270728.5,1332
592414.5,4270728.5,1327
592412.5,4270728.5,1138
592409.875,4270728.5,1044
592406.5,4270728.5,1421
592404.5,4270728.5,1915
592402.5625,4270728.5,1599
592399.1875,4270728.5,1449
592397.25,4270728.5,1321
592393.25,4270728.5,1321
592391.875,4270728.5,1049
592390.5625,4270728.5,1271
592389.25,4270728.5,1937
592387.25,4270728.5,1760
592382.625,4270728.5,1454
592381.25,4270728.5,1671
592379.9375,4270728.5,1177
592376.625,4270728.5,1377
592375.3125,4270728.5,955
592373.3125,4270728.5,905
592370,4270728.5,1532
592368,4270728.5,1898
592366.625,4270728,1521
592366,4270728.5,2442
592364.625,4270728.5,1859
592364,4270728.5,2465
592361.3125,4270728,2681
592357.375,4270728,1821
592356.6875,4270728.5,1732
592353.375,4270728.5,1382
592352,4270728.5,1493
592341.375,4270728.5,1909
592336.75,4270728.5,1599
592335.4375,4270728.5,1626
592333.4375,4270728.5,1760
592331.4375,4270728.5,2020
592086.1875,4270728,1310
592084.8125,4270728.5,827
592084.1875,4270728.5,710
592083.5,4270728,1282
592082.875,4270728,1360
592082.875,4270728,1654
592082.1875,4270728,2492
