Easting,Northing,Yield
592335.188,4267750.000,127440
592334.625,4267743.500,61920
592334.750,4267731.500,84720
592334.938,4267714.500,74640
592335.062,4267701.500,96720
592335.125,4267696.000,180960
592335.188,4267692.000,258720
592335.250,4267686.000,95280
592335.375,4267677.000,60720
592335.500,4267666.500,80880
592335.562,4267659.000,39120
592335.625,4267654.500,32160
592335.688,4267647.500,66720
592335.812,4267640.500,81120
592335.938,4267629.500,110160
592336.062,4267619.500,78240
592336.125,4267614.000,114000
592336.188,4267607.500,44880
592336.250,4267601.500,73440
592336.312,4267596.500,115920
592336.438,4267587.000,100080
592336.500,4267579.000,65520
592336.562,4267573.000,133440
592336.688,4267563.500,96960
592336.812,4267554.500,51600
592336.875,4267548.500,115440
592336.938,4267544.000,70320
592336.312,4267535.500,101520
592337.188,4267522.000,100560
592336.625,4267508.000,80400
592336.750,4267500.000,72720
592336.812,4267493.500,98880
592336.875,4267486.500,89760
592179.250,4267493.000,64080
592179.062,4267508.500,38880
592178.938,4267519.500,34800
592178.875,4267526.000,42240
592178.812,4267532.500,51120
592178.688,4267539.000,60240
592178.625,4267546.500,75600
592178.500,4267557.000,74400
592178.375,4267568.500,66240
592178.312,4267576.500,111360
592178.188,4267583.500,168240
592178.062,4267597.000,55920
592177.938,4267607.000,99120
592178.562,4267612.000,109200
592178.500,4267616.500,79440
592178.438,4267621.000,83520
592178.375,4267628.500,102240
592178.250,4267635.000,34800
592178.250,4267639.000,73440
592178.188,4267644.500,114960
592178.062,4267651.000,98880
592178.000,4267658.000,66480
592177.938,4267663.000,82800
592177.875,4267668.000,96000
592177.812,4267674.000,53760
592177.750,4267680.500,79440
592177.688,4267687.000,74880
592177.625,4267694.000,75120
592177.500,4267700.500,91920
592177.438,4267707.500,108480
592177.375,4267713.500,85920
592177.312,4267721.000,101520
592177.188,4267728.000,102000
592177.125,4267734.000,155040
592177.062,4267742.500,66720
592176.938,4267751.000,72000
592176.812,4267759.500,118560
592176.750,4267769.500,72720
592176.625,4267776.000,83520
592176.562,4267782.000,54240
592176.500,4267790.000,80880
592176.438,4267797.000,74880
592176.375,4267800.500,74880
592176.312,4267806.000,70080
592176.250,4267811.500,93120
592176.188,4267816.500,121200
592176.062,4267825.000,67440
592176.000,4267835.000,108000
592175.875,4267841.000,107280
592175.812,4267848.500,134640
592175.688,4267858.000,38880
592175.625,4267864.500,93600
592098.938,4267828.500,83040
592099.000,4267819.000,100800
592099.125,4267809.000,78000
592099.250,4267800.000,118560
592099.438,4267785.000,50400
592099.562,4267775.000,65040
592099.562,4267771.500,88800
592099.625,4267767.000,123840
592099.688,4267762.000,67200
592099.750,4267755.500,80640
592099.812,4267749.000,63840
592099.938,4267737.500,118800
592100.062,4267728.000,61920
592100.125,4267725.000,130320
592100.188,4267719.000,80640
592100.250,4267713.000,110880
592099.688,4267705.500,173040
592099.750,4267697.500,113760
592099.812,4267691.500,75360
592099.938,4267682.500,87360
592100.000,4267674.500,100080
592100.125,4267667.500,119040
592100.875,4267660.000,51120
592100.312,4267650.000,114480
592100.438,4267637.000,79920
592100.562,4267629.500,110160
592100.562,4267625.500,135120
592100.688,4267619.500,78960
592100.750,4267612.000,101520
592100.812,4267608.000,79440
592100.875,4267601.000,129840
592100.938,4267593.500,102960
592101.062,4267582.000,120480
592101.188,4267572.000,107520
